"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","49","test_login_success[loginParams1]","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","Testlogin","test_login","",""
"","155","test_list_notlogin","cases","Wed Nov 19 22:09:02 CST 2025","passed","Wed Nov 19 22:09:02 CST 2025","TestList","test_list","",""
"","40","test_userList_noLogin","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","TestUserList","test_userList","",""
"","58","test_userList_login","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","TestUserList","test_userList","",""
"","34","test_prizeList_noLogin","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","TestPrizeList","test_prizeList","",""
"","42","test_registerUser_fail[param0]","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","TestRegisterUser","test_registerUser","",""
"","46","test_registerUser_fail[param1]","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","TestRegisterUser","test_registerUser","",""
"","55","test_prizeList_login[1-2]","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","TestPrizeList","test_prizeList","",""
"","37","test_login_fail[loginParams2]","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","Testlogin","test_login","",""
"","114","test_create_prize","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","TestPrizeCreate","test_prizeCreate","",""
"","62","test_list_login","cases","Wed Nov 19 22:09:02 CST 2025","passed","Wed Nov 19 22:09:02 CST 2025","TestList","test_list","",""
"","43","test_login_fail[loginParams0]","cases","Wed Nov 19 22:09:02 CST 2025","passed","Wed Nov 19 22:09:02 CST 2025","Testlogin","test_login","",""
"","0","test_register_admin","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","TestRegisterAdmin","test_registerAdmin","",""
"","36","test_registerUser_success","cases","Wed Nov 19 22:09:03 CST 2025","broken","Wed Nov 19 22:09:03 CST 2025","TestRegisterUser","test_registerUser","",""
"","43","test_login_success[loginParams0]","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","Testlogin","test_login","",""
"","43","test_login_fail[loginParams3]","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","Testlogin","test_login","",""
"","69","test_userList_params[NORMAL]","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:04 CST 2025","TestUserList","test_userList","",""
"","51","test_prizeList_login[1-3]","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","TestPrizeList","test_prizeList","",""
"","40","test_login_fail[loginParams1]","cases","Wed Nov 19 22:09:02 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","Testlogin","test_login","",""
"","52","test_userList_params[ADMIN]","cases","Wed Nov 19 22:09:03 CST 2025","passed","Wed Nov 19 22:09:03 CST 2025","TestUserList","test_userList","",""
